,Player,Year,InjuryFactor,RushEfficiency,RecEfficiency,TotTD,PPR,NextPPR
351,Antony Auclair,2020,13.5,0.0,0.0,0,0.0,15.7
357,Asante Cleveland,2014,8.25,0.0,0.0,0,0.0,1.1
358,Asante Cleveland,2015,5.75,0.0,1.0,0,1.1,0.0
377,Austin Hooper,2016,19.25,0.0,190.7037037037037,3,64.1,119.6
378,Austin Hooper,2017,23.0,0.0,396.5230769230769,3,119.6,163.0
379,Austin Hooper,2018,24.0,0.0,532.5,4,163.0,191.7
380,Austin Hooper,2019,20.3125,0.0,608.5051546391752,6,191.7,113.5
381,Austin Hooper,2020,21.125,0.0,285.85714285714283,4,113.5,92.5
382,Austin Hooper,2021,25.41176470588235,0.0,214.91803278688525,3,92.5,97.4
383,Austin Hooper,2022,28.0,0.0,303.4,2,97.4,48.4
384,Austin Hooper,2023,29.0,0.0,188.70967741935485,0,48.4,
389,Austin Seferian-Jenkins,2014,12.375,0.0,122.13157894736842,2,53.1,78.8
390,Austin Seferian-Jenkins,2015,10.0625,0.0,182.0,4,78.8,34.4
391,Austin Seferian-Jenkins,2016,13.5,0.0,100.1,1,34.4,101.7
392,Austin Seferian-Jenkins,2017,20.3125,0.0,241.21621621621622,3,101.7,26.0
407,Bear Pascoe,2013,27.0,2.0,48.6,0,20.3,8.3
408,Bear Pascoe,2014,28.0,0.0,3.0,1,8.3,0.0
409,Ben Braunecker,2016,17.875,0.0,27.333333333333332,0,8.1,0.0
410,Ben Braunecker,2017,11.5,0.0,0.0,0,0.0,7.2
411,Ben Braunecker,2018,22.5,0.0,25.2,0,7.2,17.9
412,Ben Ellefson,2020,10.5,0.0,2.5,0,4.0,0.0
413,Ben Ellefson,2021,7.352941176470588,0.0,0.0,0,0.0,5.6
414,Ben Koyack,2016,20.125,0.0,127.45833333333333,1,41.1,10.8
415,Ben Koyack,2017,24.0,0.0,27.142857142857142,0,10.8,0.0
416,Ben Koyack,2018,10.9375,0.0,0.0,0,0.0,1.9
426,Ben Sims,2023,23.0,0.0,14.0,1,12.1,
432,Ben Watson,2013,30.9375,0.0,143.13333333333333,2,53.6,45.6
433,Ben Watson,2014,34.0,0.0,87.74193548387096,2,45.6,190.5
434,Ben Watson,2015,35.0,0.0,555.0,6,190.5,137.2
435,Ben Watson,2017,37.0,0.0,403.0632911392405,4,137.2,87.0
436,Ben Watson,2018,38.0,0.0,304.3478260869565,2,87.0,34.3
470,Blake Bell,2015,21.0,0.0,111.6,0,33.6,12.5
471,Blake Bell,2016,20.3125,0.0,37.77777777777778,0,12.5,6.9
472,Blake Bell,2017,21.125,0.0,14.25,0,6.9,14.7
473,Blake Bell,2018,16.875,0.0,48.72727272727273,0,14.7,14.7
474,Blake Bell,2019,26.25,0.0,35.733333333333334,0,14.7,22.2
475,Blake Bell,2020,29.0,2.0,80.66666666666667,0,22.2,18.7
476,Blake Bell,2021,28.235294117647058,2.5,60.23076923076923,0,18.7,10.0
477,Blake Bell,2022,5.470588235294118,0.0,20.0,1,10.0,11.6
478,Blake Bell,2023,32.0,0.0,14.444444444444445,1,11.6,
